Fecha,Puntaje,Tiempo
,,
,,
,,
5-31 17 : 52,6,18s
6-1 0 : 32,17,55s
6-1 1 : 2,14,29s
6-1 1 : 4,14,133s
6-1 1 : 5,31,168s
6-1 1 : 6,31,240s
6-1 1 : 7,0,15s
6-1 1 : 10,0,23s
6-1 1 : 14,0,30s
6-1 1 : 19,5,29s
6-1 1 : 19,5,35s
6-1 1 : 19,5,39s
6-1 1 : 23,3,13s
6-1 1 : 23,5,20s
6-1 1 : 23,6,26s
6-1 1 : 24,2,12s
6-1 1 : 24,3,16s
6-1 1 : 25,0,12s
6-1 1 : 25,5,25s
6-1 1 : 25,5,27s
6-1 1 : 25,0,20s
6-1 1 : 26,3,29s
6-1 1 : 26,3,31s
6-1 1 : 26,0,11s
6-1 1 : 27,0,13s
6-1 1 : 27,0,15s
6-1 1 : 27,0,17s
6-1 1 : 29,1,10s
6-1 1 : 29,1,15s
6-1 1 : 29,3,20s
6-1 1 : 31,0,14s
6-1 1 : 32,1,18s
6-1 1 : 32,3,24s
6-1 10 : 43,0,20s
6-1 10 : 44,0,27s
6-1 10 : 47,4,15s
6-1 10 : 47,4,22s
6-1 10 : 47,4,29s
6-1 10 : 49,2,12s
6-1 10 : 49,2,14s
6-1 10 : 54,25,46s
6-1 10 : 54,25,51s
6-1 10 : 54,0,13s
6-1 10 : 55,0,18s
6-1 10 : 56,38,76s
6-1 11 : 46,20,49s
